fund,date,proxy_return
Brave I FIC FIM CP,2021-01-04,-0.0013724317912234467
Brave I FIC FIM CP,2021-01-05,-0.0041782867115363635
Brave I FIC FIM CP,2021-01-06,-0.0008630345692765435
Brave I FIC FIM CP,2021-01-07,-0.0010885668713230938
Brave I FIC FIM CP,2021-01-08,-0.001236154498653661
Brave I FIC FIM CP,2021-01-11,-0.0015208387189238207
Brave I FIC FIM CP,2021-01-12,0.000196990945750802
Brave I FIC FIM CP,2021-01-13,0.0022320003013344795
Brave I FIC FIM CP,2021-01-14,0.002407460313590125
Brave I FIC FIM CP,2021-01-15,0.0027201483476103315
Brave I FIC FIM CP,2021-01-18,0.006168086335438076
Brave I FIC FIM CP,2021-01-19,0.0009780276418662717
Brave I FIC FIM CP,2021-01-20,0.004905823379362875
Brave I FIC FIM CP,2021-01-21,0.0006869127087953141
Brave I FIC FIM CP,2021-01-22,-0.0028220328829265634
Brave I FIC FIM CP,2021-01-26,-0.005375031687103793
Brave I FIC FIM CP,2021-01-27,-0.0056717991913413195
Brave I FIC FIM CP,2021-01-28,-0.007886384784494384
Brave I FIC FIM CP,2021-01-29,-0.008095637157220184
Brave I FIC FIM CP,2021-02-01,-0.007798327868728827
Brave I FIC FIM CP,2021-02-02,-0.006453180312275457
Brave I FIC FIM CP,2021-02-03,-0.008367561343171038
Brave I FIC FIM CP,2021-02-04,-0.008763450879668453
Brave I FIC FIM CP,2021-02-05,-0.009468874648312246
Brave I FIC FIM CP,2021-02-08,-0.008269549037535729
Brave I FIC FIM CP,2021-02-09,-0.007793000897801514
Brave I FIC FIM CP,2021-02-10,-0.00020746482791734997
Brave I FIC FIM CP,2021-02-11,-0.002180762746515365
Brave I FIC FIM CP,2021-02-12,-0.0028964515327936603
Brave I FIC FIM CP,2021-02-17,0.004251616973839857
Brave I FIC FIM CP,2021-02-18,0.008777514011902939
Brave I FIC FIM CP,2021-02-19,0.006691397093470896
Brave I FIC FIM CP,2021-02-22,0.006610933411537243
Brave I FIC FIM CP,2021-02-23,0.008632191176653587
Brave I FIC FIM CP,2021-02-24,0.00658183323086099
Brave I FIC FIM CP,2021-02-25,0.0015050962429665473
Brave I FIC FIM CP,2021-02-26,0.009560356751213693
Brave I FIC FIM CP,2021-03-01,0.008234593392468082
Brave I FIC FIM CP,2021-03-02,0.006767126165480649
Brave I FIC FIM CP,2021-03-03,0.001326596181487756
Brave I FIC FIM CP,2021-03-04,0.001700024103353033
Brave I FIC FIM CP,2021-03-05,0.000556305344275502
Brave I FIC FIM CP,2021-03-08,0.0014609867682225655
Brave I FIC FIM CP,2021-03-09,-0.0019419062300202318
Brave I FIC FIM CP,2021-03-10,0.0028100203317126516
Brave I FIC FIM CP,2021-03-11,0.0016598268128500994
Brave I FIC FIM CP,2021-03-12,0.0030059694058937885
Brave I FIC FIM CP,2021-03-15,0.005673785338779753
Brave I FIC FIM CP,2021-03-16,0.008282774501012554
Brave I FIC FIM CP,2021-03-17,0.005258210777522095
Brave I FIC FIM CP,2021-03-18,0.0022248978141961883
Brave I FIC FIM CP,2021-03-19,0.0023525853175324065
Brave I FIC FIM CP,2021-03-22,-0.00010548408621579655
Brave I FIC FIM CP,2021-03-23,-0.0017605118809377648
Brave I FIC FIM CP,2021-03-24,-0.002480951902574806
Brave I FIC FIM CP,2021-03-25,-0.005451136828174285
Brave I FIC FIM CP,2021-03-26,-0.0056150981814583195
Brave I FIC FIM CP,2021-03-29,-0.005569893154038564
Brave I FIC FIM CP,2021-03-30,-0.0079722831129454
Brave I FIC FIM CP,2021-03-31,-0.007684427025942183
Brave I FIC FIM CP,2021-04-01,-0.009204948597632712
Brave I FIC FIM CP,2021-04-05,-0.009211077073540273
Brave I FIC FIM CP,2021-04-06,-0.00949488184419869
Brave I FIC FIM CP,2021-04-07,-0.011209585961976458
Brave I FIC FIM CP,2021-04-08,-0.013032816348933928
Brave I FIC FIM CP,2021-04-09,-0.012540062482380803
Brave I FIC FIM CP,2021-04-12,-0.010213342535102159
Brave I FIC FIM CP,2021-04-13,-0.009685808162386117
Brave I FIC FIM CP,2021-04-14,-0.012682377016730874
Brave I FIC FIM CP,2021-04-15,-0.01439573256404199
Brave I FIC FIM CP,2021-04-16,-0.013105020198375183
Brave I FIC FIM CP,2021-04-19,-0.015201507443558256
Brave I FIC FIM CP,2021-04-20,-0.015931690764229414
Brave I FIC FIM CP,2021-04-22,-0.014828524096234724
Brave I FIC FIM CP,2021-04-23,-0.014643891928403116
Brave I FIC FIM CP,2021-04-26,-0.010978940578813193
Brave I FIC FIM CP,2021-04-27,-0.012987665749148223
Brave I FIC FIM CP,2021-04-28,-0.01333432529362149
Brave I FIC FIM CP,2021-04-29,-0.017536754425061935
Brave I FIC FIM CP,2021-04-30,-0.01587179333783149
Brave I FIC FIM CP,2021-05-03,-0.01702847125081672
Brave I FIC FIM CP,2021-05-04,-0.010953207544375712
Brave I FIC FIM CP,2021-05-05,-0.013173395366278123
Brave I FIC FIM CP,2021-05-06,-0.016361978772542776
Brave I FIC FIM CP,2021-05-07,-0.01860315213108849
Brave I FIC FIM CP,2021-05-10,-0.016706025045255632
Brave I FIC FIM CP,2021-05-11,-0.01622592997824855
Brave I FIC FIM CP,2021-05-12,-0.018630665136120012
Brave I FIC FIM CP,2021-05-13,-0.019417366164758428
Brave I FIC FIM CP,2021-05-14,-0.0215254392073631
Brave I FIC FIM CP,2021-05-17,-0.020721188559029304
Brave I FIC FIM CP,2021-05-18,-0.0218862644942126
Brave I FIC FIM CP,2021-05-19,-0.02360728739625986
Brave I FIC FIM CP,2021-05-20,-0.025086780459355834
Brave I FIC FIM CP,2021-05-21,-0.025589119460994812
Brave I FIC FIM CP,2021-05-24,-0.028146442338049655
Brave I FIC FIM CP,2021-05-25,-0.02972861165816196
Brave I FIC FIM CP,2021-05-26,-0.030986097706860238
Brave I FIC FIM CP,2021-05-27,-0.03145584882689467
Brave I FIC FIM CP,2021-05-28,-0.03085828613120603
Brave I FIC FIM CP,2021-05-31,-0.030649451965555182
Brave I FIC FIM CP,2021-06-01,-0.03112782037142793
Brave I FIC FIM CP,2021-06-02,-0.03022598330396232
Brave I FIC FIM CP,2021-06-04,-0.03203769395248973
Brave I FIC FIM CP,2021-06-07,-0.03173124072820824
Brave I FIC FIM CP,2021-06-08,-0.031055132929711227
Brave I FIC FIM CP,2021-06-09,-0.028420971558736918
Brave I FIC FIM CP,2021-06-10,-0.02736222008240838
Brave I FIC FIM CP,2021-06-11,-0.030028622487493384
Brave I FIC FIM CP,2021-06-14,-0.029849988261028616
Brave I FIC FIM CP,2021-06-15,-0.030176420328250343
Brave I FIC FIM CP,2021-06-16,-0.03233531767459166
Brave I FIC FIM CP,2021-06-17,-0.03081778147899651
